name,cluster,environment,period_ms,pdot,pdot_source,logP,logPdot_abs,log_b_proxy
J1342+2822E,M3,globular_cluster,0.6500,5.4729e-20,freire,-3.1871,-19.2618,-11.2244
J1342+2822F,M3,globular_cluster,4.4038,3.1224e-20,freire,-2.3562,-19.5055,-10.9308
B1516+02A,M5,globular_cluster,0.6000,5.5536e-20,freire,-3.2218,-19.2554,-11.2386
B1516+02B,M5,globular_cluster,0.5900,7.9469e-20,freire,-3.2291,-19.0998,-11.1645
J1518+0204C,M5,globular_cluster,2.4839,2.6079e-20,freire,-2.6049,-19.5837,-11.0943
J1518+0204D,M5,globular_cluster,0.7100,2.9880e-20,freire,-3.1487,-19.5246,-11.3367
J1518+0204E,M5,globular_cluster,3.1823,1.7939e-20,freire,-2.4973,-19.7462,-11.1217
J1518+0204F,M5,globular_cluster,2.6542,2.2100e-20,freire,-2.5761,-19.6556,-11.1158
J1518+0204G,M5,globular_cluster,1.1800,2.7502e-20,freire,-2.9281,-19.5606,-11.2444
J1546-3747A,NGC 5986,globular_cluster,2.6057,9.2173e-19,freire,-2.5841,-18.0354,-10.3097
J1617-2258A,M80,globular_cluster,4.3183,6.1000e-20,freire,-2.3647,-19.2147,-10.7897
J1617-2258B,M80,globular_cluster,6.3230,6.6520e-19,freire,-2.1991,-18.1770,-10.1881
J1617-2258C,M80,globular_cluster,6.5170,6.6800e-19,freire,-2.1860,-18.1752,-10.1806
B1620-26,M4,globular_cluster,0.7670,1.1076e-19,freire,-3.1152,-18.9556,-11.0354
B1639+36A,M13,globular_cluster,10.3775,-7.3000e-21,freire,-1.9839,-20.1367,-11.0603
B1639+36B,M13,globular_cluster,1.6260,3.5281e-20,freire,-2.7889,-19.4525,-11.1207
J1641+3627C,M13,globular_cluster,0.5480,3.7221e-20,freire,-3.2612,-19.4292,-11.3452
J1641+3627D,M13,globular_cluster,3.1183,-2.3600e-20,freire,-2.5061,-19.6271,-11.0666
J1641+3627E,M13,globular_cluster,2.4870,1.7500e-20,freire,-2.6043,-19.7570,-11.1806
J1641+3627F,M13,globular_cluster,0.9560,3.0035e-20,freire,-3.0195,-19.5224,-11.2710
J1641+3627G,M13,globular_cluster,1.8300,4.3236e-20,freire,-2.7375,-19.3642,-11.0509
J1641+3627H,M13,globular_cluster,11.2100,3.0750e-19,freire,-1.9504,-18.5122,-10.2313
J1641+3627I,M13,globular_cluster,6.3752,2.2660e-18,freire,-2.1955,-17.6447,-9.9201
