CID,sn_ra,sn_dec,sn_z,x1,HOST_LOGMASS,sigma_host,sigma_err,sdss_z,sdss_ra,sdss_dec,match_sep_arcsec,plate,mjd,fiberID,sigma_source
12927,41.7861,0.7751,0.18906,0.094624,10.401,109.233284,17.393103,0.18977956,41.785706000000005,0.77526977,1.544351491405342,4240,55455,948,SDSS_specObj
12950,351.667,-0.8403,0.08167,-0.396496,9.42557,17.430979,34.611286,0.08265727,351.66727,-0.84060943,1.478330433745214,383,51818,57,SDSS_specObj
12983,16.4588,0.1448,0.26408,-0.043308,10.418,274.71896,74.03917,0.26535085,16.458322,0.14537886,2.702546242065293,1082,52523,496,SDSS_specObj
13025,341.567,0.4159,0.22299,0.8684,10.836,94.1653,17.654787,0.22437228,341.5677800000001,0.41622812,3.046269400621287,4205,55454,724,SDSS_specObj
130308,213.238,52.7437,0.08245,-1.01914,10.1141,104.52628,14.950497,0.08177322,213.23699,52.743585,2.2397646500693638,1325,52762,207,SDSS_specObj
13044,332.543,0.5033,0.12472,-0.017798,10.0637,46.040478,36.89389,0.12589628,332.543,0.50388282,2.098151999999434,4200,55499,606,SDSS_specObj
13045,345.025,0.5377,0.17931,-0.084895,10.574,72.11293,10.350081,0.18057531,345.02493000000004,0.53755007,0.5956729910176948,4207,55475,726,SDSS_specObj
13070,357.785,-0.7463,0.19733,0.96631,10.267,206.09885,47.665726,0.19853325,357.78492,-0.746575,1.031033424925461,1538,52937,96,SDSS_specObj
13072,334.96,0.0244,0.22928,0.40235,10.874,732.2699,73.1823,0.23063304,334.96065,0.023678699,3.495477757712242,374,51791,637,SDSS_specObj
13099,359.819,-1.2504,0.26463,0.29704,10.86,99.48653,33.35868,0.26602536,359.81864,-1.25071,1.7100502855292634,1489,52991,123,SDSS_specObj
13152,7.0521,0.118,0.20231,0.28737,9.387,850.0,-3.0,0.2035296,7.052161699999999,0.11798027,0.23319961825394003,4220,55447,818,SDSS_specObj
1315259,40.8641,-1.6036,0.22818,-0.491116,11.5,203.65636,6.566676,0.22896284,40.86360400000001,-1.6024094,4.642955939349389,4342,55531,596,SDSS_specObj
1316,334.864,0.4945,0.21578,0.68739,9.835,522.44653,110.27928,0.21710731,334.86385999999993,0.49411549,1.4731280996055622,4201,55443,726,SDSS_specObj
13254,42.0587,-0.347,0.18004,0.52413,10.005,61.882286,34.54668,0.18066208,42.058697,-0.346808,0.6912843667579461,1511,52946,148,SDSS_specObj
13305,331.1,0.6912,0.2135,1.02285,10.055,34.739582,84.32741,0.21481177,331.10015999999996,0.69078641,1.5964405483152952,4198,55480,986,SDSS_specObj
1334084,41.734,-0.6906,0.13366,-0.905296,9.74734,21.168056,62.291714,0.13419081,41.734073,-0.69061983,0.2723050735859231,409,51871,185,SDSS_specObj
1334644,35.1072,-5.7725,0.28814,-1.76264,11.217,240.54645,15.32522,0.28919905,35.108272,-5.772817,4.005632360071331,4391,55866,682,SDSS_specObj
13354,27.5648,-0.8873,0.15671,1.04984,10.472,160.66379,7.9062734,0.12513864,27.563816,-0.88769146,3.8120322231566353,402,51793,214,SDSS_specObj
13511,40.6124,-0.7941,0.23664,-1.55732,11.411,184.79349,15.377686,0.23737495,40.611271,-0.794222,4.087672994690979,1510,52992,60,SDSS_specObj
13610,326.015,0.7263,0.29692,0.13994,10.471,32.44382,169.59966,0.29825577,326.01425,0.72550522,3.9338710119039186,1108,53227,498,SDSS_specObj
13655,39.0202,-0.9942,0.26184,-1.28381,11.238,189.31644,19.898819,0.26275247,39.020812999999976,-0.99437838,2.298016437229534,3744,55209,18,SDSS_specObj
