apogee_id,teff,logg,m_h,mass,age,distance,age_gyr
2M16331587+2336215,4645.449,2.421273,-0.4399,1.037609,7220274000.0,2325.182,7.220274
2M16331634+2248160,4863.254,3.046899,-0.0053594,1.140251,7200701000.0,1334.823,7.200701
2M16331879+2342010,4734.339,2.826376,-0.086692,1.088521,7889128000.0,1979.776,7.889128
2M16332348+2509274,4680.724,2.597274,-0.49401,0.9868095,8308678000.0,2469.254,8.308678
2M16333026+2315287,4526.527,2.729934,0.36991,1.220265,7011665000.0,1358.253,7.011665
2M16333642+2419042,4895.812,3.153604,-0.22812,1.107907,6656186000.0,662.0473,6.656186
2M16333894+2430567,5114.135,2.499549,-0.71755,0.9962832,7156730000.0,2116.263,7.15673
2M16334588+2340533,4393.607,1.892641,-0.52698,0.9652699,8797146000.0,4001.254,8.797146
2M16334653+2343251,4827.854,2.4224,-0.32829,0.98025,9470663000.0,2803.168,9.470663
2M16334957+2435522,4952.677,3.396852,0.0075343,1.475621,3086917000.0,692.89,3.086917
2M16335859+2323086,4704.85,2.541306,-0.40582,1.059782,6861021000.0,2590.498,6.861021
2M16341082+2429355,4557.401,1.735314,-1.0267,1.075613,4985670000.0,6661.849,4.98567
2M16341084+2253327,5041.502,3.453079,-0.042475,1.454428,3103386000.0,487.9449,3.103386
2M16341695+2403466,4187.424,1.270308,-0.93979,0.986348,6829320000.0,3981.49,6.82932
2M16343177+2305434,4247.408,1.18549,-1.0448,1.06464,5134375000.0,4139.691,5.134375
2M16343602+2445130,4458.38,2.114832,-0.43938,0.9925377,8424311000.0,3666.321,8.424311
2M16344410+2314218,4768.127,2.385341,-0.55329,1.257213,3601263000.0,2531.041,3.601263
2M16344915+2405574,4473.483,2.000077,-0.58895,0.9844743,7931931000.0,2880.948,7.931931
2M16345267+2335155,5140.014,2.532738,-0.34361,1.779733,1470735000.0,1287.031,1.470735
2M16351101+2309238,4885.544,3.264392,-0.27657,1.082131,6966351000.0,1218.336,6.966351
2M16352356+2418088,4903.796,2.473402,-0.27715,1.299209,3801579000.0,745.9744,3.801579
2M16352894+2429343,4748.813,3.186971,0.12307,1.242455,6401006000.0,1228.449,6.401006
2M16353158+2328174,4745.795,2.571463,-0.59634,0.993825,7647456000.0,2200.627,7.647456
2M16135851+2427553,4769.532,1.609324,-1.8828,0.6297774,19906430000.0,2639.559,19.90643
2M16135906+2444436,4876.966,3.423981,0.19083,1.438491,4794217000.0,572.6347,4.794217
2M16140082+2413166,4434.195,0.9092842,-1.6718,1.390053,2050417000.0,14480.35,2.050417
2M16140644+2414012,4455.469,1.102381,-1.299,1.497532,1708661000.0,10466.57,1.708661
2M16141038+2438532,4954.032,3.218215,-0.10532,1.555487,2409377000.0,1288.614,2.409377
2M16142316+2408331,4309.086,2.139846,0.078344,1.086558,9219494000.0,620.3808,9.219494
2M16143544+2439544,4200.446,3.383072,-0.19939,1.24467,4608638000.0,911.4846,4.608638
2M16143828+2447559,4704.692,2.477614,0.006506,1.257842,5224200000.0,1074.173,5.2242
2M16144196+2452472,4652.031,1.72706,-1.2971,0.9082832,8299027000.0,5963.745,8.299027
2M16144913+2417414,4671.027,2.214576,-0.76508,0.9798012,7430397000.0,1825.611,7.430397
2M16145198+2423282,4546.945,2.295918,-0.26168,1.038317,8118131000.0,1306.769,8.118131
2M16145671+2448515,4681.008,2.628259,-0.33871,1.043143,7570740000.0,1544.773,7.57074
2M16150222+2436032,4693.316,2.457422,0.055439,1.160235,7215471000.0,1750.779,7.215471
2M16151230+2442227,4834.368,2.824328,-0.46312,0.9768505,8774191000.0,2245.853,8.774191
2M16152063+2453331,4440.826,2.320942,-0.0052829,1.071514,8931343000.0,2519.62,8.931343
2M16153819+2412263,4419.699,2.136996,-0.35934,1.000472,8632704000.0,3079.51,8.632704
2M16153949+2342080,5152.709,2.955307,-1.0972,0.9511456,7397140000.0,1575.697,7.39714
2M16155227+2429518,4389.713,1.845127,-0.48829,1.020506,7422206000.0,3770.039,7.422206
2M16155756+2349548,4113.461,1.471236,-0.24944,0.9937296,9544736000.0,2741.822,9.544736
2M16161113+2349256,5181.908,2.355697,-0.89227,0.9730665,7263098000.0,2194.275,7.263098
2M16161627+2433177,4983.976,3.417077,-0.44028,1.124925,5492958000.0,968.6465,5.492958
2M16162394+2423596,4665.057,2.312325,-0.68725,1.011167,6894651000.0,2220.187,6.894651
2M16162767+2331364,4729.266,2.878474,-0.12864,1.124497,6821986000.0,760.4395,6.821986
2M16163712+2443502,4900.871,2.923,-0.34642,1.280273,3815280000.0,1712.271,3.81528
2M16163855+2427064,4937.896,3.229533,0.084319,1.608165,2624039000.0,695.2805,2.624039
2M16164119+2407271,4412.638,2.090214,-0.17712,1.078421,7583660000.0,1378.186,7.58366
2M16164275+2348036,4401.51,0.8646255,-1.78,1.173181,3442812000.0,6730.402,3.442812
2M16170327+2339298,4825.413,2.42023,-0.38015,0.9756833,9297008000.0,2272.775,9.297008
2M16170843+2339058,4876.705,2.42954,-0.29533,1.14551,5673360000.0,1119.719,5.67336
2M16170977+2401346,5036.022,2.406996,-0.66989,1.195215,3999852000.0,3030.61,3.999852
2M16171107+2356532,4659.877,2.545485,0.01295,1.544744,2683055000.0,667.009,2.683055
2M16173082+2350440,4099.527,1.273242,-0.44419,0.9389273,10210140000.0,2616.006,10.21014
2M16173996+2524245,4585.129,2.194175,-0.16592,1.024916,9126443000.0,1268.743,9.126443
2M16174030+2445034,4540.67,2.140885,-0.57354,1.186613,4286943000.0,2091.849,4.286943
2M16174647+2402010,5025.129,3.39191,-0.28384,1.124431,6085444000.0,944.4778,6.085444
2M16175029+2329196,4316.905,1.948071,-0.43004,0.9358888,10423610000.0,3430.525,10.42361
2M16175112+2531122,4842.489,2.420779,-0.34635,1.549216,2098513000.0,1813.753,2.098513
2M16183017+2302102,4814.288,2.777562,-0.36606,0.9420264,10623910000.0,1100.315,10.62391
2M16184569+2506137,5113.905,2.510776,-0.6444,1.294298,3144395000.0,2565.249,3.144395
2M16184823+2406012,4951.217,3.029622,-0.45237,1.240465,3967137000.0,2162.209,3.967137
2M16184986+2301188,5948.264,3.487821,-0.42729,1.585247,1880985000.0,406.8157,1.880985
2M16184989+2259217,4664.716,1.960051,-0.81161,1.036358,6029779000.0,1102.644,6.029779
2M16185015+2508163,4502.816,0.9116367,-0.88569,1.947849,1008519000.0,15979.88,1.008519
2M16185701+2513226,5026.45,2.520547,-0.50358,1.183428,4486671000.0,1948.307,4.486671
2M16190855+2515124,4534.236,2.443416,0.01397,1.151135,7096498000.0,1243.335,7.096498
2M16193649+2406151,4637.338,2.528555,-0.32279,1.052733,7415295000.0,1183.653,7.415295
2M16194101+2524065,4834.524,2.871055,-0.48699,0.9519095,9465486000.0,1650.286,9.465486
2M16194273+2500054,4384.254,1.905786,-0.47502,0.9286057,10409530000.0,1788.867,10.40953
2M16195106+2540239,4385.464,1.85957,-0.58176,0.9951771,7671466000.0,3101.687,7.671466
2M16200897+2341496,4523.374,2.362275,-0.31884,1.012371,8514753000.0,668.2296,8.514753
2M16201277+2545026,4876.912,2.469234,-0.47793,0.9263855,10478730000.0,2912.737,10.47873
2M16202315+2446378,4582.321,2.359442,-0.4801,1.007803,7788786000.0,2493.222,7.788786
2M16202372+2314339,4801.22,2.510078,-0.26595,1.372577,3206646000.0,2111.866,3.206646
2M16204289+2356194,4789.869,2.3459,-0.37539,0.9964173,8663032000.0,1972.837,8.663032
