apogee_id,teff,logg,m_h,alpha_m,fe_h,c_fe,n_fe,glon,glat,dist50,dist16,dist84,mass50
2M17344497-2817405,3757.132,1.001925,0.076321,0.0326491,0.073217,0.03952,0.175564,359.277191,2.36240983,8.053182,7.800294,8.712246,0.9916447
2M17344844-2807400,3560.512,0.8377365,0.20536,0.02726163,0.19809,0.041282,0.16886,359.42453,2.4417944,8.657355,8.311707,9.088935,0.9541127
2M17345272-2736505,3757.711,1.027185,0.17629,0.055142,0.164,0.04726499,0.24076,359.865875,2.7060194,8.096043,7.974863,9.264768,1.161393
2M17345763-2815528,3570.442,0.6535862,-0.062266,0.054543,-0.067108,0.019411,0.165232,359.327484,2.33947039,9.174463,8.876566,9.582333,0.8285813
2M17350086-2808051,4163.01,1.547616,-0.39411,0.236805,-0.40641,0.14458,0.20603,359.443359,2.39964271,5.607892,5.020021,7.237552,1.178126
2M17350512-2802456,3799.727,0.9545725,-0.12436,0.077215,-0.13007,0.026368,0.13448,359.526581,2.4343884,8.02515,7.89224,9.094429,0.8937423
2M17351291-2810554,4884.184,2.585837,-0.11176,0.0176384,-0.12298,-0.13648,0.25886,359.427399,2.33684087,0.9537922,0.9389682,0.9639037,1.985702
2M17351647-2752123,4102.419,1.527188,-0.1381,0.068206,-0.14776,0.024638,0.20154,359.697388,2.4940958,1.878506,1.734149,1.954899,1.147109
2M17351858-2744278,3890.054,1.290051,0.010951,0.078266,0.0026596,-0.0090786,0.2654114,359.810364,2.55713797,7.402619,5.275267,7.429031,2.222548
2M17352222-2833101,3546.265,0.9040228,0.26554,0.0232994,0.2594,0.03988999,0.23414,359.133453,2.1080637,9.194137,9.090705,9.354083,1.160473
2M17352252-2809573,3490.077,0.8324161,0.24184,0.0173969,0.23043,0.04176101,0.15822,359.460052,2.31582546,5.766581,5.530547,6.056093,0.9906639
2M17353200-2816293,4023.963,1.054365,-0.79219,0.296205,-0.78856,0.0008743405,0.11088,359.387054,2.22781944,7.605267,7.144488,8.311689,0.9223323
2M17353215-2759106,3953.755,1.149955,-0.62455,0.316715,-0.63513,0.18982,0.63036,359.630554,2.38285542,6.65598,6.2335,6.994665,0.9380526
2M17353467-2818243,3815.123,1.152748,-0.0010886,0.064487,-0.021367,0.0593194,0.2413784,359.365417,2.20232677,5.83716,5.533368,6.568201,1.06549
2M17353666-2753317,3617.147,1.087808,0.37794,0.006201001,0.36978,0.075964,0.20282,359.718903,2.41958809,7.088816,6.690175,8.714015,1.086703
2M17353909-2800469,3385.357,0.3354586,0.080137,0.037473,0.067118,0.025042,0.146959,359.621796,2.3469274,8.411119,8.288531,8.519712,1.547
2M17354253-2807096,3747.135,0.7971656,-0.53706,0.276845,-0.54598,0.13639,0.18837,359.538971,2.27900672,7.233333,6.775212,7.419194,1.092864
2M17354431-2758434,3856.688,0.8846183,-0.68178,0.304315,-0.6832,0.08667505,0.18638,359.661072,2.34921241,7.61546,7.166068,7.79245,1.074789
2M17354575-2821241,3690.854,0.7836125,-0.32964,0.277405,-0.32851,0.18684,0.16969,359.345215,2.1411798,7.245399,6.491194,7.92615,1.154091
2M17354760-2742056,4470.66,2.142924,0.17701,-0.025318,0.15826,-0.060938,0.33375,359.901398,2.48825765,3.330487,3.217677,3.349018,2.024441
2M17355687-2805005,3901.138,1.394645,0.1787,0.046388,0.17641,0.046343,0.27305,359.597626,2.25390625,5.114295,4.596147,5.722035,1.100417
2M17361324-2754488,3512.507,0.5364442,0.0060549,0.059564,0.006,0.0051225,0.1226949,359.773407,2.29454803,7.876512,7.468005,8.819085,1.097373
