PLATEIFU,redshift,LW_AGE_1RE,LW_AGE_1RE_ERROR,MW_AGE_1RE,MW_AGE_1RE_ERROR,LW_Z_1RE,MW_Z_1RE,PHOTOMETRIC_MASS,stellar_sigma_1re
11953-1901,0.02877594,0.8032218,0.08326546,0.9261502,0.08519416,-0.08686037,-0.209702,9.590404,73.59621
11953-1902,0.07268994,0.9009575,0.09372818,0.9836237,0.06295867,0.220289,0.2380451,11.21799,273.743
11953-1902,0.07268994,0.9009575,0.09372818,0.9836237,0.06295867,0.220289,0.2380451,11.21799,273.743
11953-1902,0.07268994,0.9009575,0.09372818,0.9836237,0.06295867,0.220289,0.2380451,11.21799,274.1741
11953-1902,0.07268994,0.9009575,0.09372818,0.9836237,0.06295867,0.220289,0.2380451,11.21799,273.743
11953-3701,0.02849033,0.7930611,0.09014449,0.92075,0.08713103,-0.1004004,-0.2271688,9.849507,84.24559
11953-3701,0.02849033,0.7930611,0.09014449,0.92075,0.08713103,-0.1004004,-0.2271688,9.849507,84.24559
11953-3701,0.02849033,0.7930611,0.09014449,0.92075,0.08713103,-0.1004004,-0.2271688,9.849507,84.22669
11953-3701,0.02849033,0.7930611,0.09014449,0.92075,0.08713103,-0.1004004,-0.2271688,9.849507,84.24559
11953-3702,0.05795732,0.6498191,0.1393679,0.8243594,0.1607682,0.08861379,0.04331401,11.05905,171.9038
11953-3702,0.05795732,0.6498191,0.1393679,0.8243594,0.1607682,0.08861379,0.04331401,11.05905,171.9038
11953-3702,0.05795732,0.6498191,0.1393679,0.8243594,0.1607682,0.08861379,0.04331401,11.05905,171.9038
11953-3702,0.05795732,0.6498191,0.1393679,0.8243594,0.1607682,0.08861379,0.04331401,11.05905,171.9038
11953-3703,0.04195523,0.7015225,0.1385531,0.8971205,0.1374397,-0.1143419,-0.2747236,10.07962,83.70309
11953-3703,0.04195523,0.7015225,0.1385531,0.8971205,0.1374397,-0.1143419,-0.2747236,10.07962,83.70309
11953-3703,0.04195523,0.7015225,0.1385531,0.8971205,0.1374397,-0.1143419,-0.2747236,10.07962,83.87222
11953-3703,0.04195523,0.7015225,0.1385531,0.8971205,0.1374397,-0.1143419,-0.2747236,10.07962,83.70309
11953-3704,0.02616149,0.6504176,0.09446601,0.789727,0.1047433,0.1556965,0.0905997,10.58443,136.7503
11953-3704,0.02616149,0.6504176,0.09446601,0.789727,0.1047433,0.1556965,0.0905997,10.58443,136.7503
11953-3704,0.02616149,0.6504176,0.09446601,0.789727,0.1047433,0.1556965,0.0905997,10.58443,136.804
11953-3704,0.02616149,0.6504176,0.09446601,0.789727,0.1047433,0.1556965,0.0905997,10.58443,136.7503
11953-6101,0.03189299,0.6939055,0.1351896,0.8697281,0.1331581,0.03936374,-0.09655063,10.57659,121.183
11953-6101,0.03189299,0.6939055,0.1351896,0.8697281,0.1331581,0.03936374,-0.09655063,10.57659,121.183
11953-6101,0.03189299,0.6939055,0.1351896,0.8697281,0.1331581,0.03936374,-0.09655063,10.57659,121.183
11953-6101,0.03189299,0.6939055,0.1351896,0.8697281,0.1331581,0.03936374,-0.09655063,10.57659,121.183
11953-6102,0.0725098,0.8262644,0.1135165,0.9457718,0.0908834,0.1855157,0.1953118,11.40627,222.8964
11953-6102,0.0725098,0.8262644,0.1135165,0.9457718,0.0908834,0.1855157,0.1953118,11.40627,222.8964
