apogee_id,dist50,glon,glat,mn_fe,fe_h
2M17123950-2452512,5.949871,359.348236,8.36431599,-0.151158,-0.34177
2M17124005-2401433,5.890146,0.0543413423,8.85301399,-0.09425801,-0.58222
2M17124154-2411301,2.859401,359.922668,8.75470448,0.212642,0.3555
2M17124260-2508206,10.57226,359.141876,8.2059412,0.102692,0.37734
2M17124454-2436457,1.699415,359.580994,8.50317287,0.09693599,0.116
2M17124488-2421399,8.099278,359.789856,8.64689064,-0.03369802,-0.16779
2M17124652-2448227,7.627086,359.425323,8.38557816,-0.121248,-0.51723
2M17124749-2501464,5.949958,359.243042,8.25397301,0.06636899,0.092672
2M17124947-2500011,2.330326,359.271545,8.2647171,0.01270202,0.26977
2M17125087-2403459,0.6220942,0.0500605106,8.79977226,0.01998852,0.15639
2M17125284-2453343,1.721748,359.367706,8.3161974,0.192022,0.41234
2M17125346-2512121,8.498302,359.11264,8.13541508,-0.03725797,-0.63638
2M17125677-2503378,0.6022657,359.237885,8.20753193,0.07009251,-0.22104
2M17125890-2506136,7.339768,359.206787,8.1760149,-0.117898,-1.1255
2M17130130-2513377,8.225687,359.110229,8.09754944,0.097552,0.32205
2M17130156-2455113,2.21902,359.364624,8.27376652,-0.072238,-0.28511
2M17130290-2452570,10.11021,359.398407,8.29108715,-0.136398,-0.42733
2M17130363-2440478,9.274186,359.567444,8.4053812,-0.147108,-0.46059
2M17130675-2412353,7.162107,359.963379,8.66587543,0.146682,0.3798
2M17130709-2406468,7.66269,0.0443044901,8.72040749,-0.197578,-0.56062
2M17131076-2423366,12.13986,359.820129,8.54792023,0.02196199,-0.38
2M17131094-2436456,7.53043,359.63916,8.42141056,-0.127928,-0.67679
2M17131427-2422387,8.766093,359.841187,8.54624748,-0.03838798,-0.35834
2M17131636-2433595,6.83921,359.68927,8.43110847,0.03126201,-0.43191
2M17131718-2443582,8.644211,359.553528,8.33299923,-0.07633501,-0.088063
2M17132289-2502266,9.23461,359.311554,8.13829136,-0.04136801,-0.54419
2M17132489-2440404,7.389008,359.615906,8.34069538,-0.001197934,-1.0649
