plateifu,mangaid,objra,objdec,log_Mass,Age_LW_Re_fit,alpha_Age_LW_Re_fit,Age_MW_Re_fit,alpha_Age_MW_Re_fit,ZH_LW_Re_fit,alpha_ZH_LW_Re_fit,vel_sigma_Re,Re_kpc
9192-1902,1-109206,46.3410404009,-0.382339878308,10.11729,8.535769,0.01472858,9.710114,0.2318305,-0.3039232,-0.2035082,0.4133447,1.369954
9192-3701,1-37169,43.7774919338,-0.162517300576,10.66147,9.774559,0.003154581,9.915092,-0.03136036,0.02748327,-0.1647484,0.3056796,1.705373
9192-3702,1-37143,44.6807240951,-0.939738959551,10.18421,9.660362,-0.1601401,9.793284,-0.1037725,-0.2077705,0.0195997,0.2787625,1.070187
9192-3703,1-109275,46.070671944,0.51988598971,10.30898,9.067936,0.07783651,9.644047,0.01767295,-0.2976206,-0.2036494,0.2743878,2.194059
9192-3704,1-37396,46.4181558739,-0.401919920453,9.670894,8.988779,0.3179336,9.583902,-0.0596446,-0.3743346,-0.01085038,0.268764,2.298283
9192-6101,1-37415,46.3470225234,-0.24210798119,10.37045,8.817067,0.1091697,9.757877,0.183168,-0.4824556,-0.03529038,0.5051366,4.16143
9192-6102,1-37418,46.152372187,-0.0374198775376,10.72972,9.396881,-0.0485678,9.680264,-0.05058059,-0.07337964,-0.2846403,0.4535997,3.40941
9192-6103,1-37568,45.9704786146,0.41526227659,11.46843,9.745216,0.06922098,9.883325,0.1259725,0.03065007,-0.1134129,0.04646198,6.084619
9192-6104,1-37407,46.1646010221,-0.841305655295,10.10324,8.695127,0.001750156,9.505675,-0.1336009,-0.4417722,-0.1595231,0.6739785,4.538967
9192-9101,1-37409,46.1445834612,-0.0866696780836,9.602508,8.742557,-0.326957,9.810508,0.226346,-0.2643999,0.2573977,0.7879044,3.353013
9192-9102,1-37606,46.2377690557,0.216811764231,11.1246,9.514649,-0.2931364,9.822578,-0.1536608,-0.05596742,-0.154292,0.3995096,4.644156
9193-12701,1-37440,45.954624176,-1.10374999046,10.86011,9.693404,-0.0281711,9.844901,-0.004083942,-0.1795675,-0.03125282,0.1426568,4.090534
9193-12702,1-37822,46.3732544874,-0.381932333858,10.08472,8.574438,-0.1818525,9.887943,0.1692278,-0.4013354,0.1188558,0.6620945,7.648898
9193-12703,1-109270,46.6858583566,-0.40880014755,9.57661,9.083229,0.08317991,9.450174,0.09385496,-0.2378136,-0.1403697,0.6806972,1.375287
9193-12704,1-37863,46.6649126989,0.0619768826479,11.32647,8.827011,0.2777695,9.754833,-0.08286268,-0.4549469,-0.1185002,0.8486621,4.229472
9193-12705,1-37388,46.3324427151,-0.97071283923,11.37331,9.550754,-0.1301967,9.824791,-0.0977668,-0.02017622,-0.1916544,0.4042905,10.30626
9193-1901,1-109234,45.9974263376,0.426382098814,10.37906,9.539671,-0.02975936,9.78037,-0.02594052,-0.007209016,-0.07870688,0.3994232,1.731151
9193-1902,1-37791,46.6602571675,-0.509978304821,10.78138,9.797942,0.01118608,9.915112,0.0282235,-0.02048608,-0.1955088,0.2472717,1.845432
9193-3701,1-37784,46.7463179463,-0.56480466568,9.685374,8.834216,-0.1007333,9.622382,-0.0142666,-0.3884988,-0.1682384,0.7592633,2.088008
9193-3702,1-37813,46.5212586534,-0.534049089871,10.15236,9.562136,-0.0630585,9.711804,0.05163915,-0.1125428,-0.06103335,0.5362141,1.891771
9193-3703,1-37877,47.1101909591,0.555106741017,10.92398,9.811934,-0.06990144,9.948236,-0.02329347,-0.1267289,-0.2011575,0.3291877,2.388607
9193-3704,1-37341,46.7261549247,-0.937073942169,10.25046,9.517179,-0.1655898,9.758839,-0.06639954,-0.275529,-0.1198128,0.3934596,2.227612
9193-6101,1-37797,46.6125296402,-0.846615867924,10.55403,9.619376,-0.1825578,9.742487,-0.1361638,-0.08642701,-0.01741202,0.1661858,1.787759
9193-6102,1-37386,46.3046913147,-1.00633585453,10.61669,9.408151,-0.1517656,9.657543,-0.2507963,-0.2464862,-0.07345749,0.3248352,4.332936
9193-6103,1-37787,46.6713709268,-0.55507454213,10.54157,9.725044,-0.01686429,9.825755,0.05445178,-0.02286895,-0.1173607,0.288141,1.35297
9193-6104,1-37338,46.7491337173,-0.811526362774,9.845683,8.792638,0.02209132,9.498563,-0.2024082,-0.4792716,-0.04313643,0.4513521,2.932817
9193-9101,1-37385,46.2941968423,-1.07547036487,11.2493,9.378949,-0.5125806,9.88152,-0.1228563,-0.08856883,-0.08140504,0.2219183,7.025982
9193-9102,1-37335,46.9437505345,-0.787567162954,9.787117,8.561349,-0.06077283,9.431817,-0.1299258,-0.4770169,-0.0441156,0.9728007,3.162731
9194-12701,1-37400,46.5605185087,-0.344391889546,10.61364,9.051057,0.433471,9.76301,0.02165843,-0.2211708,-0.004555558,0.510891,1.790283
9194-12702,1-289729,46.37337,-0.38194,9.983853,8.558408,-0.3419057,9.798936,0.1004235,-0.49,0.0,0.5925221,9.933539
