name,environment,cluster,P0_s,P1_sps,pdot_over_p,log_abs_pdot_over_p,logP,log_b_proxy
J1641+3627F,globular_cluster,M13 (NGC 6205),0.0030035,1.4e-20,4.661228566672216e-18,-17.331499600605135,-2.5223724,-11.188122
J1641+3627G,globular_cluster,M13 (NGC 6205),0.00432357,-6.633e-21,-1.5341488630923058e-18,-17.814132497438646,-2.3641575,-11.271224
J1641+3627I,globular_cluster,M13 (NGC 6205),0.00637518,2.266e-18,3.554409444125499e-16,-15.449232545837932,-2.1955075,-9.9201238
J1701-3006A,globular_cluster,M62 (NGC 6266),0.00524157,-1.317006e-19,-2.512617402801069e-17,-16.599873636557547,-2.2805386,-10.580475
J1701-3006B,globular_cluster,M62 (NGC 6266),0.00359385,-3.49618e-19,-9.728230170986546e-17,-16.011966162494986,-2.4444401,-10.450423
J1701-3006C,globular_cluster,M62 (NGC 6266),0.00761285,-6.3325e-20,-8.318172563494617e-18,-17.079972074281724,-2.1184527,-10.658439
J1701-3006D,globular_cluster,M62 (NGC 6266),0.00341777,1.356389e-19,3.968637444883652e-17,-16.40135857427963,-2.4662572,-10.666936
J1701-3006E,globular_cluster,M62 (NGC 6266),0.00323374,3.074423e-19,9.507328975118593e-17,-16.021941478257197,-2.4902949,-10.501266
J1701-3006F,globular_cluster,M62 (NGC 6266),0.00229473,2.207696e-19,9.620722263621429e-17,-16.016792322626365,-2.6392684,-10.647665
J1701-3006G,globular_cluster,M62 (NGC 6266),0.0046081,-1.1457e-19,-2.4862741693973655e-17,-16.604450982013354,-2.3364781,-10.638704
J1701-3006H,globular_cluster,M62 (NGC 6266),0.00370476,3.789e-20,1.0227383150325527e-17,-16.99023547369307,-2.4312399,-10.926358
J1701-3006I,globular_cluster,M62 (NGC 6266),0.00329562,-3.3725e-19,-1.0233279322251958e-16,-15.98998517143562,-2.4820629,-10.477055
J1716-2808A,globular_cluster,NGC 6316,0.00245079,-8.37e-21,-3.4152252947008923e-18,-17.46658064161113,-2.6106939,-11.343984
J1717+4308A,globular_cluster,M92 (NGC 6341),0.00315972,6.1185e-20,1.9364057574721812e-17,-16.713003634751104,-2.5003514,-10.856853
J1717+4308B,globular_cluster,M92 (NGC 6341),0.00351146,-2.7241e-20,-7.757741794011608e-18,-17.110264679402384,-2.4545123,-11.009645
J1735-3028B,globular_cluster,Terzan 1,0.0111366,-8.95e-18,-8.036564121904351e-16,-15.094929585807394,-1.9532474,-9.5007122
J1735-3028C,globular_cluster,Terzan 1,0.00603882,-4.43e-20,-7.335870252797731e-18,-17.13454835849838,-2.2190479,-10.786322
J1735-3028D,globular_cluster,Terzan 1,0.00538637,2.77e-18,5.14260995809794e-16,-15.288816413549691,-2.2687038,-9.913112
J1735-3028E,globular_cluster,Terzan 1,0.0030783,5.59e-19,1.8159373680278075e-16,-15.74089913444323,-2.5116891,-10.382139
J1735-3028F,globular_cluster,Terzan 1,0.00521377,-2.05e-18,-3.9318957299612366e-16,-15.405398007753153,-2.2828481,-9.9855471
J1735-3028G,globular_cluster,Terzan 1,0.00391788,1.38e-19,3.5223130876902817e-17,-16.453172043538252,-2.4069489,-10.633535
J1737-0314A,globular_cluster,M14 (NGC 6402),0.00197998,9.55e-20,4.823281043242861e-17,-16.316657431842682,-2.7033392,-10.861668
J1740-5340,globular_cluster,NGC 6397,0.00365033,1.68e-19,4.602323625535226e-17,-16.337022845936282,-2.4376679,-10.606179
