source,environment,cluster,name,P0_s,P_ms,P1_sps,assoc,logP,logPdot_abs,log_b_proxy,log_tau_c
freire,globular_cluster,M62 (NGC 6266),J1701-3006B,0.00359385,3.59385,-3.49618e-19,M62 (NGC 6266),-2.4444401,-18.456406,-10.450423,15.710936
freire,globular_cluster,M62 (NGC 6266),J1701-3006C,0.00761285,7.61285,-6.3325e-20,M62 (NGC 6266),-2.1184527,-19.198425,-10.658439,16.778942
freire,globular_cluster,M62 (NGC 6266),J1701-3006D,0.00341777,3.41777,1.356389e-19,M62 (NGC 6266),-2.4662572,-18.867616,-10.666936,16.100329
freire,globular_cluster,M62 (NGC 6266),J1701-3006E,0.00323374,3.23374,3.074423e-19,M62 (NGC 6266),-2.4902949,-18.512236,-10.501266,15.720911
freire,globular_cluster,M62 (NGC 6266),J1701-3006F,0.00229473,2.29473,2.207696e-19,M62 (NGC 6266),-2.6392684,-18.656061,-10.647665,15.715762
freire,globular_cluster,M62 (NGC 6266),J1701-3006G,0.0046081,4.6081,-1.1457e-19,M62 (NGC 6266),-2.3364781,-18.940929,-10.638704,16.303421
freire,globular_cluster,M62 (NGC 6266),J1701-3006H,0.00370476,3.70476,3.789e-20,M62 (NGC 6266),-2.4312399,-19.421475,-10.926358,16.689205
freire,globular_cluster,M62 (NGC 6266),J1701-3006I,0.00329562,3.29562,-3.3725e-19,M62 (NGC 6266),-2.4820629,-18.472048,-10.477055,15.688955
freire,globular_cluster,NGC 6316,J1716-2808A,0.00245079,2.45079,-8.37e-21,NGC 6316,-2.6106939,-20.077275,-11.343984,17.165551
freire,globular_cluster,M92 (NGC 6341),J1717+4308A,0.00315972,3.15972,6.1185e-20,M92 (NGC 6341),-2.5003514,-19.213355,-10.856853,16.411974
freire,globular_cluster,Terzan 1,J1735-3028B,0.0111366,11.1366,-8.95e-18,Terzan 1,-1.9532474,-17.048177,-9.5007122,14.7939
freire,globular_cluster,Terzan 1,J1735-3028C,0.00603882,6.03882,-4.43e-20,Terzan 1,-2.2190479,-19.353596,-10.786322,16.833518
freire,globular_cluster,Terzan 1,J1735-3028D,0.00538637,5.38637,2.77e-18,Terzan 1,-2.2687038,-17.55752,-9.913112,14.987786
freire,globular_cluster,Terzan 1,J1735-3028E,0.0030783,3.0783,5.59e-19,Terzan 1,-2.5116891,-18.252588,-10.382139,15.439869
freire,globular_cluster,Terzan 1,J1735-3028F,0.00521377,5.21377,-2.05e-18,Terzan 1,-2.2828481,-17.688246,-9.9855471,15.104368
freire,globular_cluster,Terzan 1,J1735-3028G,0.00391788,3.91788,1.38e-19,Terzan 1,-2.4069489,-18.860121,-10.633535,16.152142
freire,globular_cluster,M14 (NGC 6402),J1737-0314A,0.00197998,1.97998,9.55e-20,M14 (NGC 6402),-2.7033392,-19.019997,-10.861668,16.015627
freire,globular_cluster,NGC 6397,J1740-5340,0.00365033,3.65033,1.68e-19,NGC 6397,-2.4376679,-18.774691,-10.606179,16.035993
freire,globular_cluster,NGC 6397,J1740-5340B,0.00578697,5.78697,-6e-21,NGC 6397,-2.2375488,-20.221849,-11.229699,17.68327
freire,globular_cluster,Terzan 5,J1748-2446A,0.0115632,11.5632,-2.9e-20,Terzan 5,-1.936922,-19.537602,-10.737262,17.29965
freire,globular_cluster,Terzan 5,J1748-2446C,0.0084361,8.4361,-6.06e-19,Terzan 5,-2.0738583,-18.217527,-10.145693,15.842639
freire,globular_cluster,Terzan 5,J1748-2446D,0.00471398,4.71398,1.3e-19,Terzan 5,-2.3266123,-18.886057,-10.606334,16.258414
freire,globular_cluster,Terzan 5,J1748-2446E,0.0021978,2.1978,-1.8e-20,Terzan 5,-2.6580118,-19.744727,-11.20137,16.785686
freire,globular_cluster,Terzan 5,J1748-2446F,0.00554014,5.54014,4e-21,Terzan 5,-2.2564793,-20.39794,-11.32721,17.840431
