source,environment,cluster,name,P_ms,P1_sps,logP,logPdot_abs,log_b_proxy
freire,globular_cluster,Terzan 5,J1748-2446P,1.7286,2.6000e-19,-2.7623,-18.5850,-10.6737
freire,globular_cluster,Terzan 5,J1748-2446Q,2.8120,-3.6000e-20,-2.5510,-19.4437,-10.9973
freire,globular_cluster,Terzan 5,J1748-2446R,5.0285,4.7000e-19,-2.2986,-18.3279,-10.3132
freire,globular_cluster,Terzan 5,J1748-2446S,6.1166,6.4000e-20,-2.2135,-19.1938,-10.7037
freire,globular_cluster,Terzan 5,J1748-2446T,7.0849,3.1000e-19,-2.1497,-18.5086,-10.3292
freire,globular_cluster,Terzan 5,J1748-2446U,3.2891,3.0000e-19,-2.4829,-18.5229,-10.5029
freire,globular_cluster,Terzan 5,J1748-2446V,2.0725,-9.5000e-20,-2.6835,-19.0223,-10.8529
freire,globular_cluster,Terzan 5,J1748-2446W,4.2052,1.2000e-19,-2.3762,-18.9208,-10.6485
freire,globular_cluster,Terzan 5,J1748-2446X,2.9993,5.9000e-20,-2.5230,-19.2291,-10.8761
freire,globular_cluster,Terzan 5,J1748-2446Y,2.0482,1.5000e-19,-2.6886,-18.8239,-10.7563
freire,globular_cluster,Terzan 5,J1748-2446Z,2.4626,-8.6000e-20,-2.6086,-19.0655,-10.8371
freire,globular_cluster,Terzan 5,J1748-2446aa,5.7880,-4.4000e-19,-2.2375,-18.3565,-10.2970
freire,globular_cluster,Terzan 5,J1748-2446ab,5.1197,4.2000e-19,-2.2908,-18.3768,-10.3338
freire,globular_cluster,Terzan 5,J1748-2446ac,5.0869,2.3000e-19,-2.2935,-18.6383,-10.4659
freire,globular_cluster,Terzan 5,J1748-2446ad,1.3960,-3.4000e-20,-2.8551,-19.4685,-11.1618
freire,globular_cluster,Terzan 5,J1748-2446ae,3.6586,-5.7000e-19,-2.4367,-18.2441,-10.3404
freire,globular_cluster,Terzan 5,J1748-2446af,3.3043,-2.3000e-19,-2.4809,-18.6383,-10.5596
freire,globular_cluster,Terzan 5,J1748-2446ag,4.4480,1.2000e-20,-2.3518,-19.9208,-11.1363
freire,globular_cluster,Terzan 5,J1748-2446ah,4.9652,5.7000e-19,-2.3041,-18.2441,-10.2741
freire,globular_cluster,Terzan 5,J1748-2446ai,21.2284,1.4000e-18,-1.6731,-17.8539,-9.7635
freire,globular_cluster,Terzan 5,J1748-2446aj,2.9589,1.4123e-19,-2.5289,-18.8501,-10.6895
freire,globular_cluster,Terzan 5,J1748-2446ak,1.8901,8.8495e-20,-2.7235,-19.0531,-10.8883
freire,globular_cluster,Terzan 5,J1748-2446am,2.9338,-1.3680e-19,-2.5326,-18.8639,-10.6982
freire,globular_cluster,Terzan 5,J1748-2446an,4.8020,1.5575e-19,-2.3186,-18.8076,-10.5631
freire,globular_cluster,Terzan 5,J1748-2446ao,2.2744,8.6979e-20,-2.6431,-19.0606,-10.8519
freire,globular_cluster,Terzan 5,J1748-2446ap,3.7447,3.0700e-19,-2.4266,-18.5129,-10.4697
freire,globular_cluster,Terzan 5,J1748-2446aq,12.5219,-7.1620e-19,-1.9023,-18.1450,-10.0236
freire,globular_cluster,Terzan 5,J1748-2446ar,1.9528,-2.6480e-19,-2.7093,-18.5771,-10.6432
freire,globular_cluster,Terzan 5,J1748-2446as,2.3265,2.5598e-19,-2.6333,-18.5918,-10.6125
freire,globular_cluster,Terzan 5,J1748-2446at,2.1882,-5.8997e-20,-2.6599,-19.2292,-10.9445
freire,globular_cluster,Terzan 5,J1748-2446au,4.5482,-1.0680e-19,-2.3422,-18.9714,-10.6568
freire,globular_cluster,Terzan 5,J1748-2446av,1.8495,-4.2505e-20,-2.7330,-19.3716,-11.0523
freire,globular_cluster,Terzan 5,J1748-2446aw,13.0491,1.3065e-18,-1.8844,-17.8839,-9.8842
freire,globular_cluster,Terzan 5,J1748-2446ax,1.9435,-9.5495e-21,-2.7114,-20.0200,-11.3657
freire,globular_cluster,Terzan 5,J1748-2021H,18.9976,2.2258e-18,-1.7213,-17.6525,-9.6869
freire,globular_cluster,Terzan 5,J1750-3703B,6.0745,1.9200e-20,-2.2165,-19.7167,-10.9666
freire,globular_cluster,Terzan 5,J1750-3703C,26.5687,-9.9600e-19,-1.5756,-18.0017,-9.7887
freire,globular_cluster,Terzan 5,J1750-3703D,5.1399,4.9280e-19,-2.2890,-18.3073,-10.2982
freire,globular_cluster,NGC 6517,J1801-0857A,7.1756,-5.0992e-19,-2.1441,-18.2925,-10.2183
freire,globular_cluster,NGC 6517,J1801-0857B,28.9616,2.2034e-18,-1.5382,-17.6569,-9.5975
freire,globular_cluster,NGC 6517,J1801-0857C,3.7387,-6.2980e-20,-2.4273,-19.2008,-10.8140
freire,globular_cluster,NGC 6517,J1801-0857D,4.2265,7.5200e-21,-2.3740,-20.1238,-11.2489
freire,globular_cluster,NGC 6517,J1801-0857E,7.6017,-1.0360e-18,-2.1191,-17.9846,-10.0519
freire,globular_cluster,NGC 6517,J1801-0857F,24.8920,-2.6708e-18,-1.6039,-17.5734,-9.5886
freire,globular_cluster,NGC 6517,J1801-0857H,5.6427,3.4310e-20,-2.2485,-19.4646,-10.8565
freire,globular_cluster,NGC 6517,J1801-0857I,3.2542,-1.6420e-20,-2.4876,-19.7846,-11.1361
freire,globular_cluster,NGC 6517,J1801-0857K,9.5905,8.1800e-19,-2.0182,-18.0872,-10.0527
freire,globular_cluster,NGC 6517,J1801-0857L,6.0573,-3.3800e-20,-2.2177,-19.4711,-10.8444
freire,globular_cluster,NGC 6517,J1801-0857M,5.3568,4.8586e-19,-2.2711,-18.3135,-10.2923
freire,globular_cluster,NGC 6517,J1801-0857N,4.9946,-5.3150e-19,-2.3015,-18.2745,-10.2880
freire,globular_cluster,NGC 6517,J1801-0857O,4.2871,1.2139e-19,-2.3678,-18.9158,-10.6418
freire,globular_cluster,NGC 6522,J1803-3002A,7.1014,4.0000e-20,-2.1487,-19.3979,-10.7733
freire,globular_cluster,NGC 6522,J1803-3002C,5.8404,6.9730e-19,-2.2336,-18.1566,-10.1951
freire,globular_cluster,NGC 6539,B1802-07,23.1009,4.7000e-19,-1.6364,-18.3279,-9.9821
freire,globular_cluster,NGC 6544,J1807-2459A,3.0595,-4.3350e-21,-2.5144,-20.3630,-11.4387
freire,globular_cluster,NGC 6544,J1807-2500B,4.1862,8.2325e-20,-2.3782,-19.0845,-10.7313
freire,globular_cluster,NGC 6624,B1820-30A,5.4400,3.3850e-18,-2.2644,-17.4704,-9.8674
freire,globular_cluster,NGC 6624,J1823-3021G,6.0913,-1.8000e-20,-2.2153,-19.7447,-10.9800
freire,globular_cluster,M28 (NGC 6626),B1821-24A,3.0543,1.5500e-18,-2.5151,-17.8097,-10.1624
freire,globular_cluster,M28 (NGC 6626),J1824-2452B,6.5467,-2.4150e-19,-2.1840,-18.6171,-10.4005
freire,globular_cluster,M28 (NGC 6626),J1824-2452C,4.1583,1.7016e-19,-2.3811,-18.7691,-10.5751
freire,globular_cluster,M28 (NGC 6626),J1824-2452E,5.4191,-1.0880e-19,-2.2661,-18.9634,-10.6147
freire,globular_cluster,M28 (NGC 6626),J1824-2452F,2.4512,9.4940e-21,-2.6106,-20.0226,-11.3166
freire,globular_cluster,M28 (NGC 6626),J1824-2452G,5.9091,1.7890e-19,-2.2285,-18.7474,-10.4879
freire,globular_cluster,M28 (NGC 6626),J1824-2452H,4.6294,8.1900e-20,-2.3345,-19.0867,-10.7106
freire,globular_cluster,M28 (NGC 6626),J1824-2452J,4.0397,-7.5700e-20,-2.3937,-19.1209,-10.7573
freire,globular_cluster,M28 (NGC 6626),J1824-2452M,4.7843,1.2282e-19,-2.3202,-18.9107,-10.6155
freire,globular_cluster,M28 (NGC 6626),J1824-2452N,3.3529,1.5921e-19,-2.4746,-18.7980,-10.6363
freire,globular_cluster,NGC 6652,J1835-3259B,1.8303,6.6500e-20,-2.7375,-19.1772,-10.9573
freire,globular_cluster,M22 (NGC 6656),J1836-2354A,3.3543,2.3180e-21,-2.4744,-20.6349,-11.5546
freire,globular_cluster,M22 (NGC 6656),J1836-2354B,3.2323,-4.8000e-22,-2.4905,-21.3188,-11.9046
freire,globular_cluster,NGC 6712,J1853-0842A,2.1494,-2.4020e-21,-2.6677,-20.6194,-11.6436
freire,globular_cluster,NGC 6752,J1911-5958A,3.2662,2.9679e-21,-2.4860,-20.5276,-11.5068
freire,globular_cluster,NGC 6752,J1910-5959B,8.3578,-7.9900e-19,-2.0779,-18.0975,-10.0877
freire,globular_cluster,NGC 6752,J1911-6000C,5.2773,2.2000e-21,-2.2776,-20.6576,-11.4676
freire,globular_cluster,NGC 6752,J1910-5959D,9.0353,9.6300e-19,-2.0441,-18.0164,-10.0302
freire,globular_cluster,NGC 6752,J1910-5959E,4.5718,-4.3700e-19,-2.3399,-18.3595,-10.3497
freire,globular_cluster,NGC 6752,J1910-5959F,8.4855,7.4122e-19,-2.0713,-18.1301,-10.1007
freire,globular_cluster,NGC 6760,J1911+0102A,3.6185,-6.5800e-21,-2.4415,-20.1818,-11.3116
freire,globular_cluster,NGC 6760,J1911+0101B,5.3843,-2.0000e-21,-2.2689,-20.6990,-11.4839
freire,globular_cluster,M71 (NGC 6838),J1953+1846A,4.8883,4.8502e-20,-2.3108,-19.3142,-10.8125
freire,globular_cluster,M71 (NGC 6838),J1953+1846C,28.9328,4.0400e-20,-1.5386,-19.3936,-10.4661
freire,globular_cluster,M71 (NGC 6838),J1953+1846E,4.4441,2.2170e-20,-2.3522,-19.6542,-11.0032
freire,globular_cluster,M15 (NGC 7078),B2127+11D,4.8028,-1.0701e-18,-2.3185,-17.9706,-10.1445
freire,globular_cluster,M15 (NGC 7078),B2127+11E,4.6514,1.8546e-19,-2.3324,-18.7317,-10.5321
freire,globular_cluster,M15 (NGC 7078),B2127+11F,4.0270,2.7113e-20,-2.3950,-19.5668,-10.9809
freire,globular_cluster,M15 (NGC 7078),B2127+11H,6.7434,2.1380e-20,-2.1711,-19.6700,-10.9206
freire,globular_cluster,M15 (NGC 7078),J2129+1210J,11.8425,2.0407e-19,-1.9266,-18.6902,-10.3084
freire,globular_cluster,M15 (NGC 7078),J2129+1210M,4.8362,-2.3680e-19,-2.3155,-18.6256,-10.4706
freire,globular_cluster,M15 (NGC 7078),J2129+1210O,11.0669,-2.1946e-18,-1.9560,-17.6586,-9.8073
freire,globular_cluster,M2 (NGC 7089),J2133-0049B,6.9745,-5.1120e-20,-2.1565,-19.2914,-10.7239
freire,globular_cluster,M2 (NGC 7089),J2133-0049C,3.0049,-2.2152e-20,-2.5222,-19.6546,-11.0884
freire,globular_cluster,M2 (NGC 7089),J2133-0049D,4.2157,7.6180e-20,-2.3751,-19.1182,-10.7466
freire,globular_cluster,M2 (NGC 7089),J2133-0049E,3.7031,3.9230e-20,-2.4314,-19.4064,-10.9189
freire,globular_cluster,M2 (NGC 7089),J2133-0049F,4.7809,3.0420e-20,-2.3205,-19.5168,-10.9187
freire,globular_cluster,M2 (NGC 7089),J2133-0049G,2.5357,2.6836e-20,-2.5959,-19.5713,-11.0836
atnf_crossmatch,globular_cluster,47 Tuc,J0024-7204P,3.6430,6.6358e-19,-2.4385,-18.1781,-10.3083
atnf,field,,J0125-2327,3.6754,1.8416e-20,-2.4347,-19.7348,-11.0848
atnf,field,,J0154+1833,2.3646,2.9186e-21,-2.6262,-20.5348,-11.5805
atnf,field,,J0203-0150,5.1733,1.4281e-20,-2.2862,-19.8452,-11.0657
atnf,field,,J0214+5222,24.5753,2.9596e-19,-1.6095,-18.5288,-10.0691
atnf,field,,J0307+7443,3.1561,1.7262e-20,-2.5009,-19.7629,-11.1319
atnf,field,,J0406+3039,2.6086,8.3078e-21,-2.5836,-20.0805,-11.3320
atnf,field,,J0407+1607,25.7017,7.9000e-20,-1.5900,-19.1024,-10.3462
atnf,field,,J0447+2447,2.9953,7.9965e-21,-2.5236,-20.0971,-11.3103
atnf,field,,J0509+0856,4.0558,4.4118e-21,-2.3919,-20.3554,-11.3736
atnf,field,,J0557+1550,2.5564,7.3519e-21,-2.5924,-20.1336,-11.3630
atnf,field,,J0621+1002,28.8539,4.7300e-20,-1.5398,-19.3251,-10.4325
