# Total number of pulsars: 350, in 46 globular clusters.

# Cluster/	Offset	Period (a)	dP/dt  (a,b)	DM		Pb	x	e	m2 (c)
# Pulsar	(arcmin)(ms)		(10-20)		(cm-3 pc)	(days)	(s)		(solar masses)

47 Tuc (NGC 104)
J1617-2258C		*	 6.517		 *		66.8			*		*		*		*

M4 (NGC 6121)
B1620-26	0.767	11.0758		-5.4693(3)	62.8633(5)	191.443	64.8095 0.02532	0.33

M13 (NGC 6205)
B1639+36A       0.350   10.37750        -0.73(3)        30.4386(5)      i       i       	i       	i
B1639+36B       1.626   3.52807         -0.01(1)        29.4456(6)      1.25911 1.38854 	0.000002 	0.186         
J1641+3627C     0.548   3.72208         0.123(6)        30.1320(2)      i       i       	i       	i 
J1641+3627D     0.262   3.11829         -2.36(1)        30.451(3)       0.59144 0.92432 	0.0005730(6) 0.208
J1641+3627E     0.158   2.48698         1.75(2)         30.54(2)        0.11262 0.035869(1) 0.00012(5)  0.022   
J1641+3627F     0.956   3.00350         1.40(6)         30.366(4)       1.37800 1.251702(3) 0.0         0.157     
J1641+3627G	    1.83	4.32357			-0.6633(3)		30.759(4)		0.12052	0.016787(2)	0			0.010
J1641+3627H		*		11.21		 	*				30.75			*	*	*	*
J1641+3627I		0.195	6.37518			226.6			29.58(1)		18.23378 20.71515 0.064356(3)	0.54

M12 (NGC 6218)
J1647-0156A		*		2.36			*				42.5			2.34	2.49	0	0.26
J1647-0156B		*		2.76			*				42.7			0.5		0.7		0	0.17

M10 (NGC 6254)
J1657-0406A		*		4.73			*				43.9			37.4	14.2	0.12 0.20
J1657-0406B		*		7.35			*				43.355			27.7	18		0.9	 0.329

M62 (NGC 6266)
J1701-3006A	0.32	5.24157		-13.17006(5)	114.98(4)	3.80595	3.4837	0.0000064(5)  0.23
J1701-3006B	0.07	3.59385		-34.9618(2)	113.46(3)	0.14455	0.2527	<0.00007      0.14
J1701-3006C	0.19	7.61285		-6.3325(4)	114.55(5)	0.21500	0.1929	0.000034(9)   0.08
J1701-3006D	0.15	3.41777		13.56389(3)	114.23(2)	1.11790	0.9881	0.000456(2)   0.14
J1701-3006E	0.06	3.23374		30.74423(2)	113.79(2)	0.15848	0.0573	0.0	      0.035
J1701-3006F	0.07	2.29473		22.07696(2)	113.29(2)	0.20549	0.0573	0.00007(3)    0.024
J1701-3006G	0.23	4.60810		-11.457(2)	113.67(3)	0.77443	0.6203	0.000088(2)   0.112
J1701-3006H	0.42	3.70476		3.789(4)	114.70(3)	0.13294	0.0049	0             0.0027
J1701-3006I	0.07	3.29562		-33.725(1)	113.35(2)	0.50925	0.7328	0.000208(9)   0.18
J1701-3006J	0.06	2.76		*		111.98		*	*	*	*

NGC 6316
J1716-2808A	*	2.45		 *		172.1		*	*	*	*

M92 (NGC 6341)
J1717+4308A		0.19	3.15972	6.1185(7)	35.4205(4)	0.20087	0.398705(1)	0	0.18
J1717+4308B		*		3.51		*		35.35		2.29	2.59		0	0.24

NGC 6342
B1718-19 		2.3	1004.04		+1.59(2)*10-15	71.0(2)		0.25827 0.3526	<0.005	0.13
J1721-1936B		*	2.56828		*			71.4		i	i	i	i

Terzan 1
J1735-3028A		*	133.6947	0.0869*10-15	383.20	i	i	i	i
J1735-3028B		*	11.1366		-895		380.67		i	i	i	i
J1735-3028C		*	6.03882		-4.43		379.850		i	i	i	i
J1735-3028D		*	5.38637		277			380.720		i	i	i	i
J1735-3028E		*	3.0783		55.9		378.730		i	i	i	i
J1735-3028F		*	5.21377		-205		381.840		i	i	i	i
J1735-3028G		*	3.91788		13.8		382.00		i	i	i	i

NGC 6388
J1736-4444A		*	5.298		*			241			i	i	i	i
J1736-4444A		*	2.995		*			247			i	i	i	i

M14 (NGC 6402)
J1737-0314A	*	1.97998		9.55		82.10		0.2278	0.0471	0	0.018
J1737-0314B	*	8.52		 *		81.0		*	*	*	*
J1737-0314C	*	8.46		 *		80.0		*	*	*	*
J1737-0314D	*	2.89		 *		78.8		0.7428	0.7548	0	0.142
J1737-0314E	*	2.28		 *		80.4		0.8463	1.1018	0	0.195

NGC 6397
J1740-5340  	0.917	3.65033		+16.8(7)	71.8(2)		1.35406	1.65284	<0.0001	0.22 
J1740-5340B	*	5.78697		-0.6(3)		72.2		1.97726	2.58020	0	0.27

Terzan 5
J1748-2446A	0.602	11.5632		-2.9		242.1(2)	0.07564	0.119	0.0	0.10
J1748-2446C	0.179	8.43610		-60.6(4)	237(1)		i	i	i	i
J1748-2446D	0.693	4.71398		13.0		243.83		i	i	i	i
J1748-2446E	0.361	2.19780		-1.8		236.84		60.06	23.6	0.02	0.25
